"reason","institution","removed_path","kept_path","removed_name","kept_name","bytes","sha256"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\참고자료(2605).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\참고자료(2605).pdf","참고자료(2605).hwp","참고자료(2605).pdf","205824","bcc4a57fd3b28dc6b1ad122813e48d1d030cec36847293c618a3858a35ebe488"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\최근 제주지역 실물경제 동향_2026.6_F.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\최근 제주지역 실물경제 동향_2026.6_F.pdf","최근 제주지역 실물경제 동향_2026.6_F.hwp","최근 제주지역 실물경제 동향_2026.6_F.pdf","129024","37e1b4efce4e3a0638bb1d88ac31e3ade8595fde8312cf9d24fe893481c111a0"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\최근_전남_서남부지역_실물경제동향_F.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\최근_전남_서남부지역_실물경제동향_F.pdf","최근_전남_서남부지역_실물경제동향_F.hwp","최근_전남_서남부지역_실물경제동향_F.pdf","547328","894a9b2c4a636b470ba3d5bb5c8e547921d7478496cfce273dcec9e0db04f38e"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\충북경제 플러스(+) 성장 전환 배경 및 지속 가능성.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\충북경제 플러스(+) 성장 전환 배경 및 지속 가능성.pdf","충북경제 플러스(+) 성장 전환 배경 및 지속 가능성.hwp","충북경제 플러스(+) 성장 전환 배경 및 지속 가능성.pdf","3861504","b643c3a9edc9e62797c740dbedde26b9bcb3f44e2a18823cf105bf49a2898372"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통계조사보조원 고용 안내_20251120.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통계조사보조원 고용 안내_20251120.pdf","통계조사보조원 고용 안내_20251120.hwp","통계조사보조원 고용 안내_20251120.pdf","127488","8811753fb053885f85484483cd0251d4697976950bfb0b4e45efba7c5b8dede0"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통계조사보조원 지원서(개인정보 수집 및 이용 동의서 포함).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통계조사보조원 지원서(개인정보 수집 및 이용 동의서 포함).pdf","통계조사보조원 지원서(개인정보 수집 및 이용 동의서 포함).hwp","통계조사보조원 지원서(개인정보 수집 및 이용 동의서 포함).pdf","102912","5734720e40a0e8783236e165d02f2d2d09490bcbacb7f4751f2c8a5fb705cdd6"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통계조사보조원 지원서(양식).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통계조사보조원 지원서(양식).pdf","통계조사보조원 지원서(양식).hwp","통계조사보조원 지원서(양식).pdf","49664","d504bbbf1847c442e1bc68fab19d5eceda6fc17177d69f4a20323f23db7c9716"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통화정책방향 기자간담회 모두발언(2601).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통화정책방향 기자간담회 모두발언(2601).pdf","통화정책방향 기자간담회 모두발언(2601).hwp","통화정책방향 기자간담회 모두발언(2601).pdf","68608","5d638af38f0ee4ea43e3a9355c0bc55ee922b6f7d5f1934d0d739e3d86209e5c"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통화정책방향 기자간담회 모두발언(2602).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통화정책방향 기자간담회 모두발언(2602).pdf","통화정책방향 기자간담회 모두발언(2602).hwp","통화정책방향 기자간담회 모두발언(2602).pdf","68096","024647e62068f02017205eaeb34efcf153ec899d294cc914fc84a94198e9ac38"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통화정책방향 기자간담회 모두발언(2604).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통화정책방향 기자간담회 모두발언(2604).pdf","통화정책방향 기자간담회 모두발언(2604).hwp","통화정책방향 기자간담회 모두발언(2604).pdf","70144","62ef4a4d454e8683a1eed17610af9139d59033a1e717bcc56128d389877ebfc3"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통화정책방향 기자간담회 모두발언(2605).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\통화정책방향 기자간담회 모두발언(2605).pdf","통화정책방향 기자간담회 모두발언(2605).hwp","통화정책방향 기자간담회 모두발언(2605).pdf","69120","62b41470f72a229a1fd924c45193eb677f8661a2188cfb9cfc937aed3d516a1a"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\포항본부 운용기준 전문(2022.2)_배포용.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\포항본부 운용기준 전문(2022.2)_배포용.pdf","포항본부 운용기준 전문(2022.2)_배포용.hwp","포항본부 운용기준 전문(2022.2)_배포용.pdf","147456","5a50c464b88b41a8afe8599c46b0c734707f9feb015cf57231c1cd6d1cd21472"
